Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","89.57","Im",""
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","104.04","Im",""
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","2469.7","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","80.33","Im",""
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","94.9","Im",""
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","948.9","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","95.13","Im",""
"PP","Prix à la Production","8","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","174.83","Im",""
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","100.4","Im",""
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","915.9","","Donnée officielle"
"PP","Prix à la Production","9","Argentine","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","152.66","Im",""
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","841.8","","Donnée officielle"
"PP","Prix à la Production","1","Arménie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","102.38","Im",""
"PP","Prix à la Production","10","Australie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","100.96","Im",""
"PP","Prix à la Production","11","Autriche","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","1216.7","","Donnée officielle"
"PP","Prix à la Production","11","Autriche","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","100","Im",""
"PP","Prix à la Production","52","Azerbaïdjan","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","119.46","Im",""
"PP","Prix à la Production","16","Bangladesh","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","109.74","Im",""
"PP","Prix à la Production","14","Barbade","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","103.25","Im",""
"PP","Prix à la Production","57","Bélarus","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","792.4","","Donnée officielle"
"PP","Prix à la Production","57","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","108.74","Im",""
"PP","Prix à la Production","255","Belgique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","971.7","","Donnée officielle"
"PP","Prix à la Production","255","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","96.33","Im",""
"PP","Prix à la Production","23","Belize","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","113.07","Im",""
"PP","Prix à la Production","18","Bhoutan","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","132.86","Im",""
"PP","Prix à la Production","19","Bolivie (État plurinational de)","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","112.63","Im",""
"PP","Prix à la Production","80","Bosnie-Herzégovine","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","88.43","Im",""
"PP","Prix à la Production","21","Brésil","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","67.61","Im",""
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","3198.6","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","102.48","Im",""
"PP","Prix à la Production","27","Bulgarie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","669.4","","Donnée officielle"
"PP","Prix à la Production","27","Bulgarie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","58.92","Im",""
"PP","Prix à la Production","233","Burkina Faso","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","104.01","Im",""
"PP","Prix à la Production","29","Burundi","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","111.95","Im",""
"PP","Prix à la Production","35","Cabo Verde","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","100.6","Im",""
"PP","Prix à la Production","115","Cambodge","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","103.85","Im",""
"PP","Prix à la Production","32","Cameroun","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","97.65","Im",""
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","1587.4","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","97.02","Im",""
"PP","Prix à la Production","40","Chili","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","1112.9","","Donnée officielle"
"PP","Prix à la Production","40","Chili","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","100.67","Im",""
"PP","Prix à la Production","96","Chine - RAS de Hong-Kong","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","4637.4","","Donnée officielle"
"PP","Prix à la Production","96","Chine - RAS de Hong-Kong","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","","75.35","Im",""
"PP","Prix à la Production","41","Chine, continentale","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2017","2017","7021","Valeur annuel","USD","2267.5","","Donnée officielle"
