Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","004","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","8.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","17.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","15.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","19.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21045","Pourcentage de la population ayant accès à des services d'eau potable gérés en toute sécurité","2017","2017","%","25.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","66.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","3.1","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","92.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","0.1","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","11","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","8.8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","12","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","21045","Pourcentage de la population ayant accès à des services d'eau potable gérés en toute sécurité","2017","2017","%","70.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","94.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","1.1","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","11.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","9.8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","12","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","21045","Pourcentage de la population ayant accès à des services d'eau potable gérés en toute sécurité","2017","2017","%","74.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","93.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","0.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","0.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<0.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","21045","Pourcentage de la population ayant accès à des services d'eau potable gérés en toute sécurité","2017","2017","%","99","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","99","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","21045","Pourcentage de la population ayant accès à des services d'eau potable gérés en toute sécurité","2017","2017","%","90.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","99","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","024","Angola","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","4.6","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","024","Angola","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","024","Angola","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","024","Angola","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","024","Angola","6121","Valeur","21047","Pourcentage de la population utilisant au moins les services d'eau de base","2017","2017","%","55.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
