Zone,Valeur Pop 2017,Taux évolution population,Importation (kg/pers),Nourriture Volaille (kg/pers),Viande Total (kg/pers),Exportation (kg/pers),Production (kg/pers),Nourriture Volaille/Total (%),Stabilité politique et absence de violence/terrorisme (indice),PIB (Valeur us$/Habitant),Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans),% population utilisant au moins les services d'eau de base
Afghanistan,36296113,0.03193043725435363,0.8,1.52,8.6,0.0,0.77,17.67,-2.8,520.616409,8.3,66.8
Afrique du Sud,57009756,0.014012603709669724,9.02,35.7,60.02,1.11,29.24,59.48,-0.28,6121.876572,3.1,92.7
Albanie,2884169,-0.004211322366769021,13.18,16.3,47.15,0.0,4.51,34.57,0.38,4514.204908,0.1,94.1
Algérie,41389189,0.01737006734808677,0.05,6.38,18.07,0.0,6.64,35.31,-0.92,4109.696001,1.1,93.8
Allemagne,82658409,0.0009720718882348933,10.19,19.47,87.77,7.82,18.32,22.18,0.59,44651.829102,0,99
Angola,29816766,0.03566839024181369,9.29,10.56,23.51,0.0,1.41,44.92,-0.38,4095.811686,4.6,55.8
Antigua-et-Barbuda,95426,0.013221207388790636,73.36,52.4,73.36,0.0,0.0,71.43,0.75,15383.415188,0,96.7
Arabie saoudite,33101178,0.02864132342281711,21.81,43.35,54.11,0.3,18.61,80.11,-0.64,20802.464299,1.2,99
Argentine,43937140,0.010327723309032484,0.18,42.24,109.36,4.71,49.18,38.62,0.17,14648.845969,1.4,95.4
Arménie,2944791,-0.0037301443305822746,11.89,15.96,45.5,0.0,3.74,35.08,-0.62,3914.525246,0.1,99
Australie,24584620,0.015035024008723585,0.65,47.63,121.58,1.71,51.62,39.18,0.9,57628.863849,0,99
Autriche,8819901,0.005094406332012635,12.47,18.14,87.19,8.84,16.78,20.81,1.05,47309.051637,0,99
Azerbaïdjan,9845320,0.01122396439703488,2.74,13.1,34.13,0.0,10.56,38.38,-0.75,4150.868844,0,93.9
Bahamas,381755,0.015268704019404833,62.87,41.91,65.49,0.0,15.72,63.99,0.99,32376.12978,0,98.9
Bangladesh,159685424,0.011606910738307663,0.0,1.5,4.05,0.0,1.56,37.04,-1.26,1538.233627,20,97.4
Barbade,286232,0.0033062082838073437,6.99,45.42,69.87,0.0,52.41,65.01,0.97,17419.313704,0.1,98.5
Belgique,11419748,0.006152598410479067,29.6,12.61,65.68,57.44,40.54,19.2,0.43,44025.903247,0,99
Belize,375769,0.02481765743433284,0.0,26.61,39.92,0.0,53.22,66.66,0.04,4909.683057,0.1,98
Bolivie (État plurinational de),11192855,0.016756040178761027,0.09,36.01,71.38,0.09,47.62,50.45,-0.28,3351.127399,1.4,91.7
Bosnie-Herzégovine,3351525,-0.006672256863999687,2.98,16.71,36.1,2.39,18.2,46.29,-0.35,5394.741461,0,96.1
Botswana,2205080,0.01794801423894632,1.36,3.17,24.49,0.0,2.27,12.94,1.02,7893.36292,0.5,90.3
Brésil,207833823,0.009665898562436714,0.01,48.03,99.84,20.32,68.33,48.11,-0.47,9928.675992,0,98.5
Bulgarie,7102444,-0.006940382268098566,15.21,22.11,58.43,6.34,15.07,37.84,0.33,8335.277986,0.2,99
Burkina Faso,19193234,0.0300340683511211,0.0,2.29,12.04,0.0,2.4,19.02,-0.93,734.996282,2.4,49
Bélarus,9450231,-0.002084343830514701,2.22,27.94,81.48,16.08,48.99,34.29,-0.05,5790.908054,0,96.5
Bénin,11175198,0.02849134768500261,11.01,14.41,20.22,0.0,1.61,71.27,0.03,1136.59336,0.9,65.1
Cabo Verde,537498,0.012746508046929339,22.33,16.74,31.63,0.0,1.86,52.92,0.77,3292.638357,0.1,87.1
Cambodge,16009409,0.016015064617544983,0.62,2.31,12.31,0.0,1.75,18.77,0.09,1385.260419,1.2,69.7
Cameroun,24566073,0.027383700194416827,0.0,3.18,12.01,0.0,3.3,26.48,-1.1,1425.106072,1.6,64.7
Canada,36732095,0.010723832491982943,4.95,39.01,82.6,4.44,38.58,47.23,1.1,44906.74892,0,99
Chili,18470439,0.01066795238450502,8.39,36.38,83.16,6.23,38.55,43.75,0.42,14998.813979,0.5,99
Chine - RAS de Hong-Kong,7306322,0.0060203834364289666,124.14,53.52,137.14,90.74,3.28,39.03,0.83,46705.027813,0,99
Chine - RAS de Macao,622585,0.022452507598784255,36.94,33.73,101.19,0.0,4.82,33.33,1.43,81043.968656,0.1,99
"Chine, Taiwan Province de",23674546,0.003714359131753664,6.8,33.16,77.55,0.34,27.54,42.76,0.86,6101.130428,0.9,95.4
"Chine, continentale",1421021791,0.005615841896433604,0.32,12.33,59.9,0.41,12.83,20.58,-0.27,8663.126784,0,94.7
Chypre,1179678,0.013231240261437405,11.87,25.43,72.9,0.85,21.19,34.88,0.54,26755.5929,0,99
Colombie,48909839,0.012616648631296782,1.59,32.0,55.9,0.04,31.98,57.25,-0.77,6376.707362,2.9,96.9
Congo,5110695,0.02894470857843756,20.35,21.52,40.11,0.0,1.37,53.65,-0.53,2154.629048,1.4,73.2
Costa Rica,4949954,0.012909116370256157,3.43,26.46,53.54,0.61,26.87,49.42,0.61,12225.577172,0.2,99
Croatie,4182857,-0.003480920898348283,5.74,10.76,75.31,4.06,14.58,14.29,0.69,13439.243178,0,93.5
Cuba,11339254,0.0009970343184422248,27.52,23.72,55.38,0.0,2.56,42.83,0.65,8541.21444,0,96.3
Côte d'Ivoire,24437470,0.023667702488512132,0.29,2.54,12.4,0.0,2.37,20.48,-1.09,2111.026809,1.5,71
Danemark,5732274,0.004165481614444966,23.2,28.96,70.65,24.25,30.18,40.99,0.87,57938.797728,0,99
Djibouti,944099,0.01613045574699301,3.18,3.18,15.89,0.0,0.0,20.01,-0.74,2930.696963,0.1,75.9
Dominique,71458,0.0013786312161498948,55.98,41.98,69.97,0.0,0.0,60.0,1.2,7286.797839,0.1,95.4
El Salvador,6388126,0.004702349697375263,2.5,20.51,30.53,0.31,21.29,67.18,-0.26,3910.253179,0.6,97.2
Espagne,46647428,0.007518670080483458,4.39,30.4,100.24,4.54,32.48,30.33,0.28,28137.441564,0,99
Estonie,1319390,-0.003141421234609032,15.92,21.22,63.67,8.34,15.16,33.33,0.65,20406.691807,0,99
Eswatini,1124805,0.006969484626943245,1.78,6.22,26.67,0.0,5.33,23.32,-0.27,3913.145927,0.1,68.6
Fidji,877459,0.004342485324541068,3.42,28.49,43.31,0.0,26.21,65.78,0.62,6101.130428,0.1,94.3
Finlande,5511371,0.0035299976592184645,2.9,18.69,76.75,2.18,23.41,24.35,1.08,46385.550876,0,99
France,64842509,0.005409395021785501,7.8,22.9,83.05,7.73,26.99,27.57,0.28,38720.645922,0,99
Fédération de Russie,145530082,0.0005455474645492675,1.55,30.98,76.61,0.79,30.54,40.44,-0.64,10817.003315,0,96.7
Gabon,2064822,0.030775029347347636,36.81,29.54,59.57,0.0,1.94,49.59,-0.1,7230.472774,0.3,84.5
Gambie,2213889,0.0307224277287097,7.23,3.61,8.13,0.0,0.9,44.4,-0.08,679.778473,0.3,79.9
