Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18896.352021","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","520.616409","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","2552.410075","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","13.507422","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","349006.689642","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","6121.876572","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","65489.510906","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","18.764543","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13019.729856","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4514.204908","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","3199.79436","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","24.576503","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","170096.984537","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4109.696001","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","69367.833111","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","40.781342","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3690849.152518","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","44651.829102","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","760287.858258","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","20.599267","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","26136.303698","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","60237.989371","Fc","Donnée calculée",""
