Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21035","Taux de dépendance à l'égard des importations céréalières (%) (moyenne sur 3 ans)","20162018","2016-2018","%","41.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21034","Pourcentage des terres arables aménagées pour l'irrigation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","41.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21033","Valeur des importations alimentaires par rapport aux exportations totales de marchandises (%) (moyenne sur 3 ans)","20162018","2016-2018","%","363","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","-2.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6127","Valeur","21030","Variabilité de la production alimentaire par habitant ($I par personne constant 2014-16)","2017","2017","1000 I$","6.8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6128","Valeur","21031","Variabilité des disponibilités alimentaires par habitant (Kcal/personne/jour)","2017","2017","Kcal/personne/jour","27","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","21035","Taux de dépendance à l'égard des importations céréalières (%) (moyenne sur 3 ans)","20162018","2016-2018","%","15.2","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","21034","Pourcentage des terres arables aménagées pour l'irrigation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","13.9","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","21033","Valeur des importations alimentaires par rapport aux exportations totales de marchandises (%) (moyenne sur 3 ans)","20162018","2016-2018","%","6","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","indice","-0.28","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6127","Valeur","21030","Variabilité de la production alimentaire par habitant ($I par personne constant 2014-16)","2017","2017","1000 I$","15.7","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6128","Valeur","21031","Variabilité des disponibilités alimentaires par habitant (Kcal/personne/jour)","2017","2017","Kcal/personne/jour","21","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","21035","Taux de dépendance à l'égard des importations céréalières (%) (moyenne sur 3 ans)","20162018","2016-2018","%","37.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","21034","Pourcentage des terres arables aménagées pour l'irrigation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","57.8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","21033","Valeur des importations alimentaires par rapport aux exportations totales de marchandises (%) (moyenne sur 3 ans)","20162018","2016-2018","%","21","E","Valeur estimée",""
